day_index,date,history_days_used,candidate,method,quantile,margin_kw,historical_score,realized_candidate_score,mae_kw,daily_energy_error_kwh
104,2025-04-15,104,weighted30_q80,weighted30,0.8,0.006596602150537645,5311.07112260618,6797.2304646193315,257.65005169205483,-5026.5152728817175
105,2025-04-16,105,weighted30_q80,weighted30,0.8,0.006596602150537645,5406.874199321739,6124.462052612228,138.550494181601,152.10915790681193
106,2025-04-17,106,weighted30_q80,weighted30,0.8,0.010197204301075331,5392.281963112245,4399.279331767546,144.20328263142173,-2249.2109202150536
107,2025-04-18,107,weighted30_q80,weighted30,0.8,0.01143763440860215,5394.399762092419,3575.2739107340067,138.1610975179212,-2539.834639928318
108,2025-04-19,108,weighted30_q80,weighted30,0.8,0.013232387096774222,5344.2463336156325,4786.353440350415,145.92252598835117,-2282.681487491037
109,2025-04-20,109,weighted30_q80,weighted30,0.8,0.03202352688171785,5415.124855696088,4840.572756967305,149.39480411140988,-2177.1506611827945
110,2025-04-21,110,weighted30_q80,weighted30,0.8,0.08531230107526908,5390.707278836003,5451.603128526072,278.80084340322577,-6690.547940917562
111,2025-04-22,111,weighted30_q80,weighted30,0.8,0.0625561290322586,5457.681715731333,5255.3581002247365,160.66554817801676,-1876.808757275988
112,2025-04-23,112,weighted30_q80,weighted30,0.8,0.07837212903225807,5455.573135135882,5803.051564197133,195.74507366009564,-2650.5528682867393
113,2025-04-24,113,weighted30_q80,weighted30,0.8,0.0972505806451623,5508.746232983903,5468.214717741704,259.0417952350657,-6180.5555499283155
114,2025-04-25,114,weighted30_q80,weighted30,0.8,0.07836559139784946,5517.554956204136,4514.220710065389,216.21896735215043,-5060.022692580642
115,2025-04-26,115,weighted30_q80,weighted30,0.8,0.0731795698924732,5481.896240072425,5933.3228437139005,303.32917212216245,-6922.366658315412
116,2025-04-27,116,weighted30_q80,weighted30,0.8,0.0763190537634404,5575.989527882088,2673.7307118819062,130.96253040740743,-2815.527746666669
117,2025-04-28,117,weighted30_q80,weighted30,0.8,0.08941686021505378,5529.33020515911,18723.140730751467,282.9039674097969,5005.261471612903
118,2025-04-29,118,weighted30_q80,weighted30,0.8,0.7054104086021873,5938.269533381953,5977.70820206166,219.50152578166063,-4132.8309532688145
119,2025-04-30,119,mean30_q80,mean30,0.8,0.0006033333333333334,5975.2829894745355,7975.3202956285495,288.2941347916665,-4895.637535000001
